Agreeableness,Conscientiousness,Extraversion,Resiliency,Honesty,Originality,Charity,Economists,Engineers,Maths,Social,STEM,Male,MSB,Private,Raven,RavenTime,TimesMPL1,TimesMPL2,TimesMPL3,TimesMPL4,TimesMPL5,TimesMPL6,TimesMPL7,TimesMPL8,TimesMPL9,TimesMPL10,TimesMPL11,SP,WIN,Group,Age,German,GermanLang
70,55,60,62.5,70,47.5,0,0,1,0,0,1,1,0,1,4,435.298,14.797,10.625,6.21900000000005,7.53100000000006,4.73400000000003,17.437,3.45299999999997,5.31299999999998,5.375,2.65599999999994,4.56199999999989,10,0,1,29,0,0
57.5,65,65,40,72.5,60,0,1,0,0,0,0,0,1,-1,10,453.609999999999,21.6399999999999,46.906,15.36,7.57799999999997,22.3119999999999,3.51599999999996,2.64099999999996,17.5159999999999,10,7.46799999999996,4.63999999999998,1,1,1,28,1,1
45,45,47.5,55,62.5,55,0,0,0,0,1,0,0,1,1,6,394.376,21.031,9.68699999999995,4.10899999999998,4.49999999999994,6.01600000000007,8.34399999999993,5.15700000000003,7.09399999999993,2.21900000000005,2.39099999999996,2.92200000000002,3,1,1,23,1,1
65,62.5,85,87.5,55,82.5,0,0,1,0,0,1,1,0,-1,5,645.640999999998,23.937,16.656,2.63999999999998,3.29700000000002,2.25,3.5,3.32799999999997,2.54700000000002,3.01599999999996,2.14099999999996,4.375,2,1,1,27,1,1
55,65,67.5,75,50,80,0,0,0,1,0,1,1,0,-1,7,536.547,3.75,4.17199999999996,2.26499999999998,1.56200000000001,11.782,2.28099999999994,1.56299999999998,1.76600000000002,1.71799999999996,2.26499999999998,4.79700000000002,1,1,1,20,1,1
85,80,67.5,72.5,45,77.5,0,0,0,1,0,1,1,0,-1,6,513.466999999998,17.187,3.76499999999998,2.89099999999996,6.51499999999998,6.75,3.95299999999997,1.70300000000008,1.95300000000008,1.67099999999993,2.07800000000008,1.92099999999993,4,0,1,26,0,1
20,35,85,52.5,40,80,0,0,0,1,0,1,0,0,-1,6,330.405999999999,3.68699999999995,2.70299999999997,1.84399999999999,1.63999999999998,1.63999999999998,1.71899999999999,4.454,1.42200000000002,1.454,2.98399999999998,2.406,1,1,1,24,1,1
47.5,60,47.5,50,60,52.5,0,0,0,1,0,1,1,0,-1,5,208.877,3,2.51599999999996,1.56199999999995,1.43799999999998,1.67199999999996,1.75,1.21899999999999,1.29700000000002,1.45300000000003,1.67200000000002,1.531,1,1,1,26,1,1
45,55,77.5,32.5,90,72.5,0,1,0,0,0,0,0,0,-1,6,152.548,5.26600000000002,4.26599999999996,1.98399999999998,3.01599999999996,2.01499999999998,2.17200000000002,2,2.406,2.63999999999998,2.67200000000002,2.42199999999996,1,1,1,28,0,0
82.5,75,82.5,62.5,70,65,0,0,0,1,0,1,0,0,-1,7,553.234999999999,7.01500000000004,3.21899999999993,2.60900000000003,3.06200000000001,11.594,5.125,8.46899999999993,2.15600000000006,2.28199999999992,2.20300000000008,3.48399999999992,4,0,1,26,1,1
67.5,52.5,82.5,20,85,77.5,0,0,0,1,0,1,0,0,-1,5,431.75,12.3129999999999,24.4849999999999,3.29700000000002,7.68700000000001,2.93700000000001,5.03099999999994,2.71800000000007,2.45299999999997,2.26499999999998,8.375,5.59400000000005,1,1,1,24,1,1
50,45,67.5,40,62.5,62.5,0,0,1,0,0,1,1,0,-1,5,189.532,3,1.82800000000003,1.48399999999998,1.51500000000004,1.29699999999996,1.38999999999998,1.32800000000003,1.40700000000003,1.35999999999995,1.35899999999998,1.45300000000003,1,1,1,22,1,1
60,77.5,95,70,65,75,0,1,0,0,0,0,0,0,-1,8,287.924,2.68800000000004,10.391,1.25,1.531,1.26499999999998,1.406,1.42199999999996,1.42200000000002,1.5,1.59399999999999,1.32799999999997,1,1,1,31,1,1
45,62.5,65,52.5,57.5,55,0,0,0,0,1,0,0,1,1,4,172.016,21.875,10.125,8.28200000000003,6.42199999999991,2.78099999999994,10.3279999999999,4,2.15600000000006,2.20299999999997,3.65700000000003,4.5,2,1,1,22,0,1
47.5,57.5,52.5,57.5,55,40,0,0,0,1,0,1,1,0,-1,7,264.468,18.6399999999999,108.015,4.40599999999994,3.57800000000008,1.54700000000002,1.67200000000002,1.68799999999998,1.68700000000001,1.76499999999998,2.20299999999997,1.89099999999996,2,1,3,28,1,1
47.5,45,72.5,50,60,55,0,0,0,1,0,1,1,0,1,7,250.344,5.90600000000006,5.03099999999994,2.79700000000002,10.2659999999999,6.07799999999997,4.25,4.5,1.64099999999996,1.90700000000003,1.46899999999993,1.875,5,1,3,26,1,1
85,82.5,92.5,82.5,82.5,52.5,0,0,1,0,0,1,1,0,-1,5,210.950999999999,4.81200000000001,2.17100000000004,3,2.40700000000003,6.96900000000005,3.17200000000002,1.73399999999992,1.35899999999992,1.48400000000003,3.14099999999996,1.40600000000006,5,0,3,25,0,0
47.5,65,62.5,57.5,62.5,47.5,0,1,0,0,0,0,1,0,-1,5,227.03,14.234,7.07799999999997,3.43700000000001,6.78099999999994,10.125,7.43700000000001,5.40600000000006,2.48400000000003,1.92199999999991,3.125,4.48400000000003,5,1,3,23,1,1
62.5,65,67.5,57.5,65,72.5,0,0,0,1,0,1,0,0,-1,4,165.906,15.875,8.40599999999994,1.96799999999996,7.60900000000003,5.09400000000005,2.23399999999992,2.10900000000003,3.48400000000003,2.40599999999994,2.07799999999997,4,0,0,3,32,0,0
37.5,55,82.5,30,42.5,72.5,0,0,0,0,1,0,0,0,1,6,169.377,9.18799999999998,8.5,4.25,2.60900000000003,3.43799999999998,4.5,3.34399999999993,14.469,2.43799999999998,1.53199999999992,3.51499999999998,5,1,3,25,1,1
57.5,67.5,90,35,82.5,95,0,0,0,0,1,0,0,0,-1,4,237.763999999999,17.7659999999999,4.60900000000003,3.70299999999997,21.781,15.0779999999999,4.15599999999994,2.20299999999997,3.29700000000002,2.67200000000002,2.53099999999994,2.7650000000001,5,1,3,42,0,0
52.5,55,40,45,72.5,55,0,0,1,0,0,1,1,0,-1,5,289.033,12.312,6.59299999999996,3.15600000000006,1.73500000000001,5.75,3.56200000000001,1.54700000000002,1.88999999999998,2.57799999999997,1.25,2.45299999999997,2,1,3,24,1,1
62.5,55,75,70,82.5,65,0,0,1,0,0,1,1,0,-1,5,264.688,7.76600000000007,3.48500000000001,5.18799999999998,2.01600000000007,2.03200000000003,7.67200000000002,8.70399999999995,6.73400000000003,9.35900000000003,4.53099999999994,2.5,0,1,3,28,0,0
